,number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_loss,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,params_n_iter_no_change,params_tol,state
56,56,-0.5582076167419292,2021-07-13 23:33:43.542017,2021-07-13 23:34:10.651075,0 days 00:00:27.109058,0.46673247820887453,0.8200453337011367,least_squares,160,18,100,17,1.2195046327949694e-09,COMPLETE
57,57,-0.5596008088330314,2021-07-13 23:34:10.659128,2021-07-13 23:34:47.535695,0 days 00:00:36.876567,0.5325844092323921,0.6790638320994267,least_squares,104,2,80,20,2.2374511227051094e-10,COMPLETE
58,58,-0.5613071014172714,2021-07-13 23:34:47.546188,2021-07-13 23:35:14.559065,0 days 00:00:27.012877,0.26993883284391057,0.9045369565743264,least_squares,152,14,93,18,3.304997808439071e-08,COMPLETE
59,59,-0.5582088391417395,2021-07-13 23:35:14.566283,2021-07-13 23:35:41.511588,0 days 00:00:26.945305,0.5743124097531337,0.7665742907640215,least_squares,139,22,68,18,0.02143804166332017,COMPLETE
60,60,-0.5622570330374211,2021-07-13 23:35:41.514773,2021-07-13 23:36:10.079351,0 days 00:00:28.564578,0.7298115808460574,0.9460771643697775,least_squares,114,7,26,20,1.419666669365183e-07,COMPLETE
61,61,-0.5665072497118258,2021-07-13 23:36:10.088421,2021-07-13 23:36:39.059228,0 days 00:00:28.970807,0.621793366980493,0.9284708808309321,least_squares,134,5,97,13,6.74952168937679e-10,COMPLETE
62,62,-0.5631594228285892,2021-07-13 23:36:39.065228,2021-07-13 23:37:24.648561,0 days 00:00:45.583333,0.500434948662103,0.9943281385949587,least_squares,148,2,89,14,1.8540029750494836e-10,COMPLETE
63,63,-0.5662536028041383,2021-07-13 23:37:24.654243,2021-07-13 23:37:51.667424,0 days 00:00:27.013181,0.6568012103101071,0.894715698736044,least_squares,124,10,85,16,1.0268823430256604e-10,COMPLETE
64,64,2840220.5121864663,2021-07-13 23:37:51.678002,2021-07-13 23:39:04.405985,0 days 00:01:12.727983,0.9136186795918942,4.7029632354034234e-06,least_squares,168,4,99,15,2.2783970223325388e-09,COMPLETE
65,65,-0.5608528531933219,2021-07-13 23:39:04.414438,2021-07-13 23:39:33.694163,0 days 00:00:29.279725,0.5553090689185358,0.8588551193604814,least_squares,158,12,92,19,1.017944076042916e-09,COMPLETE
66,66,-0.5213005653673692,2021-07-13 23:39:33.702288,2021-07-13 23:39:57.130829,0 days 00:00:23.428541,0.8098785953532952,0.8164571924491968,least_absolute_deviation,181,8,82,12,6.337370231935973e-09,COMPLETE
67,67,-0.5597489703887886,2021-07-13 23:39:57.133754,2021-07-13 23:40:23.792664,0 days 00:00:26.658910,0.42355605860237966,0.8567129498274693,least_squares,131,18,97,14,5.96931421336414e-10,COMPLETE
68,68,-0.5646433140176697,2021-07-13 23:40:23.810088,2021-07-13 23:41:12.893364,0 days 00:00:49.083276,0.5989339514079115,0.9633281411406668,least_squares,148,2,100,18,1.3094809669793797e-08,COMPLETE
69,69,-0.5631622622115382,2021-07-13 23:41:12.901244,2021-07-13 23:41:39.564128,0 days 00:00:26.662884,0.45398275285941697,0.9034069178310596,least_squares,139,13,91,16,1.6554355903990605e-09,COMPLETE
70,70,-0.5628211011202215,2021-07-13 23:41:39.571258,2021-07-13 23:42:08.402135,0 days 00:00:28.830877,0.5249899720144182,0.9274236381743042,least_squares,83,5,2,9,2.7314051355717974e-10,COMPLETE
71,71,-0.5685938722779685,2021-07-13 23:42:08.404980,2021-07-13 23:42:36.834011,0 days 00:00:28.429031,0.38803600486079654,0.8312820355157424,least_squares,177,8,95,17,1.0431402552089024e-10,COMPLETE
72,72,-0.5661219023354429,2021-07-13 23:42:36.837181,2021-07-13 23:43:05.979879,0 days 00:00:29.142698,0.3838775653904528,0.8003168959240234,least_squares,163,9,96,17,1.4953220854408364e-10,COMPLETE
